ISBN,Title,Subtitle,Authors,Publish Year,eBook Link,Price
978-3-642-35843-2,SOFSEM 2013: Theory and Practice of Computer Science,"39th International Conference on Current Trends in Theory and Practice of Computer Science, Špindlerův Mlýn, Czech Republic, January 26-31, 2013, Proceedings",Peter van Emde Boas; Frans C.A. Groen; Giuseppe F. Italiano; Jerzy Nawrocki; Harald Sack,2013,https://doi.org/10.1007/978-3-642-35843-2,100
978-3-319-04298-5,SOFSEM 2014: Theory and Practice of Computer Science,"40th International Conference on Current Trends in Theory and Practice of Computer Science,Nový Smokovec, Slovakia, January 26-29, 2014, Proceedings",Viliam Geffert; Bart Preneel; Branislav Rovan; Július Štuller; A Min Tjoa,2014,https://doi.org/10.1007/978-3-319-04298-5,100
978-3-662-46078-8,SOFSEM 2015: Theory and Practice of Computer Science,"41st International Conference on Current Trends in Theory and Practice of Computer Science, Pec pod Sněžkou, Czech Republic, January 24-29, 2015, Proceedings",Giuseppe Italiano; Tiziana Margaria-Steffen; Jaroslav Pokorný; Jean-Jacques Quisquater; Roger Wattenhofer,2015,https://doi.org/10.1007/978-3-662-46078-8,100
978-3-662-49192-8,SOFSEM 2016: Theory and Practice of Computer Science,"42nd International Conference on Current Trends in Theory and Practice of Computer Science, Harrachov, Czech Republic, January 23-28, 2016, Proceedings",Rūsiņš Mārtiņš Freivalds; Gregor Engels; Barbara Catania,2016,https://doi.org/10.1007/978-3-662-49192-8,100
978-3-319-45417-7,Soil Science Working for a Living,Applications of soil science to present-day problems,David Dent; Yuriy Dmytruk,2017,https://doi.org/10.1007/978-3-319-45417-7,280
978-1-4615-8675-3,Sparse Matrices and their Applications,"Proceedings of a Symposium on Sparse Matrices and Their Applications, held September 910, 1971, at the IBM Thomas J. Watson Research Center, Yorktown Heights, New York, and sponsored by the Office of Naval Research, the National Science Foundation, IBM World Trade Corporation, and the IBM Research Mathematical Sciences Department.",D. Rose,1972,https://doi.org/10.1007/978-1-4615-8675-3,100
978-94-007-2030-5,Special Sciences and the Unity of Science,Unavailable,Olga Pombo; Juan Manuel Torres; John Symons; Shahid Rahman,2012,https://doi.org/10.1007/978-94-007-2030-5,180
978-3-030-43328-4,Statistical Analysis of Empirical Data,Methods for Applied Sciences,Scott Pardo,2020,https://doi.org/10.1007/978-3-030-43328-4,220
978-981-13-2146-7,Statistical Methods in Social Science Research,Unavailable,S P Mukherjee; Bikas K Sinha; Asis Kumar Chattopadhyay,2018,https://doi.org/10.1007/978-981-13-2146-7,160
978-3-031-39791-2,Statistical Modeling Using Bayesian Latent Gaussian Models,With Applications in Geophysics and Environmental Sciences,Birgir Hrafnkelsson,2023,https://doi.org/10.1007/978-3-031-39791-2,320
978-1-4612-1216-4,Statistical Science in the Courtroom,Unavailable,Joseph L. Gastwirth,2000,https://doi.org/10.1007/978-1-4612-1216-4,100
978-981-15-1960-4,Statistics and Data Science,"Research School on Statistics and Data Science, RSSDS 2019, Melbourne, VIC, Australia, July 24–26, 2019, Proceedings",Hien Nguyen,2019,https://doi.org/10.1007/978-981-15-1960-4,100
978-1-4614-0394-4,Statistics for Bioengineering Sciences,With MATLAB and WinBUGS Support,Brani Vidakovic,2011,https://doi.org/10.1007/978-1-4614-0394-4,419
978-1-0716-4156-9,Statistics for Lawyers,Statistics for Social and Behavioral Science,Michael O. Finkelstein; Bruce Levin,2024,https://link.springer.com/978-1-0716-4156-9,419
978-94-017-0538-7,Structures and Norms in Science,"Volume Two of the Tenth International Congress of Logic, Methodology and Philosophy of Science, Florence, August 1995",Maria Luisa Dalla Chiara; Kees Doets; Daniele Mundici; Johan van Benthem,1997,https://doi.org/10.1007/978-94-017-0538-7,400
978-94-015-9739-5,Structures in Science,Heuristic Patterns Based on Cognitive Structures An Advanced Textbook in Neo-Classical Philosophy of Science,Theo A.F. Kuipers,2001,https://doi.org/10.1007/978-94-015-9739-5,280
978-1-4612-2112-8,Studies in the Atmospheric Sciences,Unavailable,Mark L. Berliner; Douglas Nychka; Timothy Hoar,2000,https://doi.org/10.1007/978-1-4612-2112-8,100
978-981-15-7847-2,The High Tide of Science and Technology Development in China,History of Science and Technology in China Volume 3,Xiaoyuan Jiang,2021,https://doi.org/10.1007/978-981-15-7847-2,440
978-94-007-7407-0,The Institution of Science and the Science of Institutions,The Legacy of Joseph Ben-David,Marcel Herbst,2014,https://doi.org/10.1007/978-94-007-7407-0,180
978-94-6091-525-3,The Invention of Science: Why History of Science Matters for the Classroom,Unavailable,Catherine Milne,2011,https://doi.org/10.1007/978-94-6091-525-3,70
978-94-009-5496-0,The Kaleidoscope of Science,"The Israel Colloquium: Studies in History, Philosophy, and Sociology of Science Volume 1",Edna Ullmann-Margalit,1986,https://doi.org/10.1007/978-94-009-5496-0,100
978-1-4020-3838-9,The Metaphysics of Science,"An Account of Modern Science in Terms of Principles, Laws and Theories",Craig Dilworth,2007,https://doi.org/10.1007/978-1-4020-3838-9,280
978-94-015-8621-4,The Metaphysics of Science,"An Account of Modern Science in terms of Principles, Laws and Theories",Craig Dilworth,1996,https://doi.org/10.1007/978-94-015-8621-4,160
978-3-030-04143-4,The Metaphysics of Science and Aim-Oriented Empiricism,A Revolution for Science and Philosophy,Nicholas Maxwell,2018,https://doi.org/10.1007/978-3-030-04143-4,180
978-94-017-3391-5,The Natural Sciences and the Social Sciences,Some Critical and Historical Perspectives,Robert S. Cohen,1994,https://doi.org/10.1007/978-94-017-3391-5,400
978-0-306-47215-2,The Nature of Science in Science Education,Rationales and Strategies,W.F. McComas,2002,https://doi.org/10.1007/0-306-47215-5,280
978-981-15-7853-3,The Origins of Sciences in China,History of Science and Technology in China Volume 1,Xiaoyuan Jiang,2021,https://doi.org/10.1007/978-981-15-7853-3,598
978-94-009-6481-5,Theory of Legal Science,"Proceedings of the Conference on Legal Theory and Philosopy of Science Lund, Sweden, December 11–14, 1983",Aleksander Peczenik; L. Lindahl; G.C. van Roermund,1984,https://doi.org/10.1007/978-94-009-6481-5,400
978-94-009-4566-1,The Prism of Science,"The Israel Colloquium: Studies in History, Philosophy, and Sociology of Science Volume 2",Edna Ullmann-Margalit,1986,https://doi.org/10.1007/978-94-009-4566-1,180
978-94-011-3492-7,The Problem of Reductionism in Science,"(Colloquium of the Swiss Society of Logic and Philosophy of Science, Zürich, May 18–19, 1990)",E. Agazzi,1991,https://doi.org/10.1007/978-94-011-3492-7,180
978-3-319-42465-1,The Science Teaching Efficacy Belief Instruments (STEBI A and B),A comprehensive review of methods and findings from 25 years of science education research,James Deehan,2017,https://doi.org/10.1007/978-3-319-42465-1,100
978-1-4020-8405-8,The Unity of Science in the Arabic Tradition,"Science, Logic, Epistemology and their Interactions",Shahid Rahman; Tony Street; Hassan Tahiri,2008,https://doi.org/10.1007/978-1-4020-8405-8,538
978-3-642-69939-9,Third International Conference on System Science in Health Care,Troisième Conférence Internationale sur la Science des Systèmes dans le Domaine de la Santé,W. van Eimeren; R. Engelbrecht; C. D. Flagle,1984,https://doi.org/10.1007/978-3-642-69939-9,154
978-3-319-97064-6,Tracing the Life Cycle of Ideas in the Humanities and Social Sciences,Unavailable,Arjuna Tuzzi,2018,https://doi.org/10.1007/978-3-319-97064-6,180
978-3-642-36488-4,Trends in Veterinary Sciences,"Current Aspects in Veterinary Morphophysiology, Biochemistry, Animal Production, Food Hygiene and Clinical Sciences",Cristiano Boiti; Adriana Ferlazzo; Alberto Gaiti; Antonio Pugliese,2013,https://doi.org/10.1007/978-3-642-36488-4,180
978-981-15-7850-2,Western Influences in the History of Science and Technology in Modern China,History of Science and Technology in China Volume 5,Xiaoyuan Jiang,2021,https://doi.org/10.1007/978-981-15-7850-2,700
978-1-137-51091-4,10 Questions Science Can't Answer (Yet),A Guide to Science's Greatest Mysteries,M. Hanlon,2007,https://doi.org/10.1007/978-1-137-51091-4,100
978-1-4757-6906-7,1974 Annual Supplement,"An Annual Supplement to the UNIVERSAL REFERENCE SYSTEM’s Political Science Series, employing a single Index and Catalog to carry materials pertaining to the ten basic volumes in the series",Joan Schmitz Bergholt,1975,https://doi.org/10.1007/978-1-4757-6906-7,180
978-94-6463-056-5,2022 2nd International Conference on Management Science and Software Engineering (ICMSSE 2022),Unavailable,Syed Abdul Rehman Khan; Noor Zaman Jhanjhi; Hongbo Li,2023,https://doi.org/10.2991/978-94-6463-056-5,0
978-981-97-6043-5,2023 Asia-Singapore Conference on Sport Science,Practical Challenges Encountered in Sport and Solutions Adopted in Sport Science,Mike Climstein; Joe Walsh; Ian Tim Heazlewood,2024,https://doi.org/10.1007/978-981-97-6043-5,340
978-3-031-32068-2,2023 the 7th International Conference on Energy and Environmental Science,ICEES 2023,Jianping Yang,2023,https://doi.org/10.1007/978-3-031-32068-2,300
978-1-4842-1323-0,3D Printed Science Projects,"Ideas for your classroom, science fair or home",Joan Horvath; Rich Cameron,2016,https://doi.org/10.1007/978-1-4842-1323-0,118
979-8-8688-0342-0,3D Printed Science Projects Volume 1,"Ideas for Your Classroom, Science Fair, or Home",Joan Horvath; Rich Cameron,2024,https://doi.org/10.1007/979-8-8688-0342-0,100
978-1-4419-8562-0,"Abduction, Reason and Science",Processes of Discovery and Explanation,L. Magnani,2001,https://doi.org/10.1007/978-1-4419-8562-0,180
978-3-030-87771-2,A Brief History of Colour Theory,Foundations of Colour Science,George Pavlidis,2021,https://doi.org/10.1007/978-3-030-87771-2,220
978-3-031-51163-9,Accelerating Discoveries in Data Science and Artificial Intelligence II,"ICDSAI 2023, LIET Vizianagaram, India, April 24–25",Frank M. Lin; Ashokkumar Patel; Nishtha Kesswani; Bosubabu Sambana,2024,https://doi.org/10.1007/978-3-031-51163-9,400
978-3-031-23606-8,"Accelerating Science and Engineering Discoveries Through Integrated Research Infrastructure for Experiment, Big Data, Modeling and Simulation","22nd Smoky Mountains Computational Sciences and Engineering Conference, SMC 2022, Virtual Event, August 23–25, 2022, Revised Selected Papers",Kothe Doug; Geist Al; Swaroop Pophale; Hong Liu; Suzanne Parete-Koon,2022,https://doi.org/10.1007/978-3-031-23606-8,180
978-3-031-70855-8,"Achieving Sustainable Business through AI, Technology Education and Computer Science","Volume 1: Computer Science, Business Sustainability, and Competitive Advantage",Allam Hamdan,2024,https://link.springer.com/978-3-031-70855-8,460
978-3-540-77626-0,A Comprehensible Universe,The Interplay of Science and Theology,George V. Coyne; Michael Heller,2008,https://doi.org/10.1007/978-3-540-77626-0,140
978-3-030-63757-6,A Course on Small Area Estimation and Mixed Models,"Methods, Theory and Applications in R",Domingo Morales; María Dolores Esteban; Agustín Pérez; Tomáš Hobza,2021,https://doi.org/10.1007/978-3-030-63757-6,419
978-3-030-25001-0,A Critical Reflection on Automated Science,Will Science Remain Human?,Marta Bertolaso; Fabio Sterpetti,2020,https://doi.org/10.1007/978-3-030-25001-0,180
978-3-031-41758-0,Actionable Science of Global Environment Change,From Big Data to Practical Research,Ziheng Sun,2023,https://doi.org/10.1007/978-3-031-41758-0,260
978-94-010-1268-3,Action Theory and Social Science,Some Formal Models,I. Pörn,1977,https://doi.org/10.1007/978-94-010-1268-3,180
978-3-319-74467-4,Active Interrogation in Nuclear Security,"Science, Technology and Systems",Igor Jovanovic; Anna S. Erickson,2018,https://doi.org/10.1007/978-3-319-74467-4,300
978-3-030-33600-4,Active Learning in College Science,The Case for Evidence-Based Practice,Joel J. Mintzes; Emily M. Walter,2020,https://doi.org/10.1007/978-3-030-33600-4,478
978-3-540-45336-9,Active Media Technology,"6th International Computer Science Conference, AMT 2001, Hong Kong, China, December 18-20, 2001. Proceedings",Jiming Liu; Pong C. Yuen; Chung-hung Li; Joseph Ng; Toru Ishida,2001,https://doi.org/10.1007/3-540-45336-9,100
978-94-007-4360-1,Activist Science and Technology Education,Unavailable,Larry Bencze; Steve Alsop,2014,https://doi.org/10.1007/978-94-007-4360-1,180
978-94-009-4796-2,Actuarial Science,Advances in the Statistical Sciences Festschrift in Honor of Professor V.M. Josh’s 70th Birthday Volume VI,I.B. MacNeill; G. Umphrey,1987,https://doi.org/10.1007/978-94-009-4796-2,180
978-94-017-9370-4,A Cultural-Historical Study of Children Learning Science,Foregrounding Affective Imagination in Play-based Settings,Marilyn Fleer; Niklas Pramling,2015,https://doi.org/10.1007/978-94-017-9370-4,240
978-3-030-74266-9,Addressing Wicked Problems through Science Education,The Role of Out-of-School Experiences,Marianne Achiam; Justin Dillon; Melissa Glackin,2021,https://doi.org/10.1007/978-3-030-74266-9,260
978-1-349-02888-7,A Dictionary of Earth Sciences,Unavailable,S.E. Stiegeler,1976,https://doi.org/10.1007/978-1-349-02888-7,160
978-981-97-2607-3,A Diversity of Pathways Through Science Education,Unavailable,Yann Shiou Ong; Timothy Ter Ming Tan; Yew-Jin Lee,2024,https://doi.org/10.1007/978-981-97-2607-3,240
978-3-319-45877-9,A Doctorate and Beyond,Building a Career in Engineering and the Physical Sciences,Graham C. Goodwin; Stefan F. Graebe; Adam Sandford,2017,https://doi.org/10.1007/978-3-319-45877-9,70
978-94-010-1470-0,Advanced Geostatistics in the Mining Industry,"Proceedings of the NATO Advanced Study Institute held at the Istituto di Geologia Applicata of the University of Rome, Italy, 13–25 October 1975",M. Guarascio; C.J. Huybrechts; M. David,1976,https://doi.org/10.1007/978-94-010-1470-0,400
978-3-319-76276-0,Advanced Manufacturing and Materials Science,Selected Extended Papers of ICAMMS 2018,Kurian Antony; J. Paulo Davim,2018,https://doi.org/10.1007/978-3-319-76276-0,280
978-3-030-54765-3,"Advanced Technologies, Systems, and Applications V",Papers Selected by the Technical Sciences Division of the Bosnian-Herzegovinian American Academy of Arts and Sciences 2020,Samir Avdaković; Ismar Volić; Aljo Mujčić; Tarik Uzunović; Adnan Mujezinović,2021,https://doi.org/10.1007/978-3-030-54765-3,180
978-3-642-25437-6,Advanced Technology in Teaching - Proceedings of the 2009 3rd International Conference on Teaching and Computational Science (WTCS 2009),"Volume 2: Education, Psychology and Computer Science",Yanwen Wu,2012,https://doi.org/10.1007/978-3-642-25437-6,578
978-94-007-4682-4,Advance in Barley Sciences,Proceedings of 11th International Barley Genetics Symposium,Guoping Zhang; Chengdao Li; Xu Liu,2013,https://doi.org/10.1007/978-94-007-4682-4,400
978-3-030-33614-1,"Advances and Applications in Computer Science, Electronics and Industrial Engineering","Proceedings of the Conference on Computer Science, Electronics and Industrial Engineering (CSEI 2019)",Jyrki Nummenmaa; Federico Pérez-González; Bruno Domenech-Lega; Jean Vaunat; Félix Oscar Fernández-Peña,2020,https://doi.org/10.1007/978-3-030-33614-1,280
978-3-030-97719-1,"Advances and Applications in Computer Science, Electronics, and Industrial Engineering","Proceedings of the Conference on Computer Science, Electronics and Industrial Engineering (CSEI 2021)",Marcelo V. Garcia; Félix Fernández-Peña; Carlos Gordón-Gallegos,2022,https://doi.org/10.1007/978-3-030-97719-1,320
978-94-009-4998-0,Advances in Animal Welfare Science 1984,Unavailable,M.W. Fox; Linda D. Mickley,1985,https://doi.org/10.1007/978-94-009-4998-0,280
978-94-009-4247-9,Advances in Animal Welfare Science 1985,Unavailable,M.W. Fox; Linda D. Mickley,1986,https://doi.org/10.1007/978-94-009-4247-9,400
978-3-031-28776-3,Advances in Applications of Rasch Measurement in Science Education,Unavailable,Xiufeng Liu; William J. Boone,2023,https://doi.org/10.1007/978-3-031-28776-3,300
978-3-030-69951-2,"Advances in Artificial Intelligence, Computation, and Data Science",For Medicine and Life Science,Tuan D. Pham; Hong Yan; Muhammad W. Ashraf; Folke Sjöberg,2021,https://doi.org/10.1007/978-3-030-69951-2,340
978-3-642-27957-7,Advances in Computational Environment Science,"Selected papers from 2012 International Conference on Environment Science (ICES 2012), Australia, Melbourne, 15‐16 January, 2012",Gary Lee,2012,https://doi.org/10.1007/978-3-642-27957-7,400
978-3-319-00951-3,"Advances in Computational Science, Engineering and Information Technology","Proceedings of the Third International Conference on Computational Science, Engineering and Information Technology (CCSEIT-2013), KTO Karatay University, June 7-9, 2013, Konya,Turkey - Volume 1",Dhinaharan Nagamalai; Ashok Kumar; Annamalai Annamalai,2013,https://doi.org/10.1007/978-3-319-00951-3,400
978-3-642-17857-3,Advances in Computer Science and Information Technology,"First International Conference on Computer Science and Information Technology, CCSIT 2011, Bangalore, India, January 2-4, 2011. Proceedings, Part I",Natarajan Meghanathan; B.K. Kaushik; Dhinaharan Nagamalai,2011,https://doi.org/10.1007/978-3-642-17857-3,240
978-3-642-27308-7,Advances in Computer Science and Information Technology. Computer Science and Engineering,"Second International Conference, CCSIT 2012, Bangalore, India, January 2-4, 2012. Proceedings, Part II",Natarajan Meghanathan; Nabendu Chaki; Dhinaharan Nagamalai,2012,https://doi.org/10.1007/978-3-642-27308-7,180
978-3-642-27317-9,Advances in Computer Science and Information Technology. Computer Science and Information Technology,"Second International Conference, CCSIT 2012, Bangalore, India, January 2-4, 2012. Proceedings, Part III",Natarajan Meghanathan; Nabendu Chaki; Dhinaharan Nagamalai,2012,https://doi.org/10.1007/978-3-642-27317-9,100
978-3-540-30502-6,"Advances in Computer Science - ASIAN 2004, Higher Level Decision Making","9th Asian Computing Science Conference. Dedicated to Jean-Louis Lassez on the Occasion of His 5th Cycle Birthday, Chiang Mai, Thailand, December 8-10, 2004",Michael J. Maher,2005,https://doi.org/10.1007/b103476,180
978-3-540-32249-8,Advances in Computer Science - ASIAN 2005. Data Management on the Web,"10th Asian Computing Science Conference, Kunming, China, December 7-9, 2005, Proceedings",Stephane Grumbach; Liying Sui; Victor Vianu,2005,https://doi.org/10.1007/11596370,100
978-3-540-77505-8,Advances in Computer Science - ASIAN 2006. Secure Software and Related Issues,"11th Asian Computing Science Conference, Tokyo, Japan, December 6-8, 2006, Revised Selected Papers",Mitsu Okada; Ichiro Satoh,2007,https://doi.org/10.1007/978-3-540-77505-8,100
978-3-540-76929-3,Advances in Computer Science - ASIAN 2007. Computer and Network Security,"12th Asian Computing Science Conference, Doha, Qatar, December 9-11, 2007, Proceedings",Iliano Cervesato,2007,https://doi.org/10.1007/978-3-540-76929-3,100
978-3-642-30111-7,"Advances in Computer Science, Engineering and Applications","Proceedings of the Second International Conference on Computer Science, Engineering and Applications (ICCSEA 2012), May 25-27, 2012, New Delhi, India, Volume 2",David C. Wyld; Jan Zizka; Dhinaharan Nagamalai,2012,https://doi.org/10.1007/978-3-642-30111-7,578
978-3-642-30157-5,"Advances in Computer Science, Engineering & Applications","Proceedings of the Second International Conference on Computer Science, Engineering and Applications (ICCSEA 2012), May 25-27, 2012, New Delhi, India, Volume 1",David C. Wyld; Jan Zizka; Dhinaharan Nagamalai,2012,https://doi.org/10.1007/978-3-642-30157-5,578
978-3-642-10622-4,"Advances in Computer Science, Information Security and Privacy","13th Asian Computing Science Conference, Seoul, Korea, December 14-16, 2009, Proceedings",Anupam Datta,2009,https://doi.org/10.1007/978-3-642-10622-4,100
978-981-10-5427-3,Advances in Computing and Data Sciences,"First International Conference, ICACDS 2016, Ghaziabad, India, November 11-12, 2016, Revised Selected Papers",Mayank Singh; P.K. Gupta; Vipin Tyagi; Arun Sharma; Tuncer Ören; William Grosky,2017,https://doi.org/10.1007/978-981-10-5427-3,100
978-3-540-44464-0,Advances in Computing Science - ASIAN 2000,"6th Asian Computing Science Conference Penang, Malaysia, November 25-27, 2000 Proceedings",Jifeng He; Masahiko Sato,2000,https://doi.org/10.1007/3-540-44464-5,100
978-3-540-40965-6,"Advances in Computing Science - ASIAN 2003, Programming Languages and Distributed Computation","8th Asian Computing Science Conference, Mumbai, India, December 10-14, 2003, Proceedings",Vijay A. Saraswat,2003,https://doi.org/10.1007/b94667,100
978-3-540-69658-2,Advances in Computing Science - ASIAN'97,"Third Asian Computing Science Conference, Kathmandu, Nepal, December 9-11, 1997. Proceedings",R.K. Shyamasundar; Kazunori Ueda,1997,https://doi.org/10.1007/3-540-63875-X,100
978-3-540-49366-2,Advances in Computing Science - ASIAN'98,"4th Asian Computing Science Conference, Manila, The Philippines, December 8-10, 1998, Proceedings",Jieh Hsiang; Atsushi Ohori,1998,https://doi.org/10.1007/3-540-49366-2,100
978-3-540-46674-1,Advances in Computing Science - ASIAN'99,"5th Asian Computing Science Conference, Phuket, Thailand, December 10-12, 1999 Proceedings",P.S. Thiagarajan; Roland Yap,1999,https://doi.org/10.1007/3-540-46674-6,100
978-1-4615-9062-0,Advances in Corrosion Science and Technology,Unavailable,Mars G. Fontana; Roger W. Staehle,1976,https://doi.org/10.1007/978-1-4615-9062-0,100
978-1-4684-8986-6,Advances in Corrosion Science and Technology,Volume 6,Mars G. Fontana; Roger W. Staehle,1976,https://doi.org/10.1007/978-1-4684-8986-6,100
978-1-4615-9059-0,Advances in Corrosion Science and Technology,Volume 4,Mars G. Fontana; Roger W. Staehle,1974,https://doi.org/10.1007/978-1-4615-9059-0,100
978-1-4615-8258-8,Advances in Corrosion Science and Technology,Unavailable,Mars G. Fontana; Roger W. Staehle,1973,https://doi.org/10.1007/978-1-4615-8258-8,100
978-1-4615-8255-7,Advances in Corrosion Science and Technology,Unavailable,M. G. Fontana; R. W. Staehle,1972,https://doi.org/10.1007/978-1-4615-8255-7,100
978-1-4615-8252-6,Advances in Corrosion Science and Technology,Volume 1,Mars G. Fontana; Roger W. Staehle,1970,https://doi.org/10.1007/978-1-4615-8252-6,100
978-981-16-2502-2,Advances in Decision Science and Management,Proceedings of Third International Conference on Decision Science and Management (ICDSM 2021),Taosheng Wang; Srikanta Patnaik; Andrew W.H. Ip; Madjid Tavana,2022,https://doi.org/10.1007/978-981-16-2502-2,280
978-0-387-73742-3,Advances in Digital Forensics III,"IFIP International Conference on Digital Forensics , National Center for Forensic Science, Orlando Florida, January 28-January 31, 2007",Philip Craiger; Sujeet Shenoi,2007,https://doi.org/10.1007/978-0-387-73742-3,180
978-3-031-09883-3,"Advances in Geochemistry, Analytical Chemistry, and Planetary Sciences",75th Anniversary of the Vernadsky Institute of the Russian Academy of Sciences,Vladimir P. Kolotov; Natalia S. Bezaeva,2023,https://doi.org/10.1007/978-3-031-09883-3,320
978-3-030-98096-2,Advances in Geospatial Data Science,Selected Papers from the International Conference on Geospatial Information Sciences 2021,Rodrigo Tapia-McClung; Oscar Sánchez-Siordia; Karime González-Zuccolotto; Hugo Carlos-Martínez,2022,https://doi.org/10.1007/978-3-030-98096-2,240
978-3-031-20463-0,Advances in Geospatial Technology in Mining and Earth Sciences,Selected Papers of the 2nd International Conference on Geo-spatial Technologies and Earth Resources 2022,Long Quoc Nguyen; Luyen Khac Bui; Xuan-Nam Bui; Hai Thanh Tran,2023,https://doi.org/10.1007/978-3-031-20463-0,438
978-3-030-80000-0,"Advances in Human Factors in Training, Education, and Learning Sciences","Proceedings of the AHFE 2021 Virtual Conference on Human Factors in Training, Education, and Learning Sciences, July 25-29, 2021, USA",Salman Nazir; Tareq Z. Ahram; Waldemar Karwowski,2021,https://doi.org/10.1007/978-3-030-80000-0,280
978-3-030-20135-7,"Advances in Human Factors in Training, Education, and Learning Sciences","Proceedings of the AHFE 2019 International Conference on Human Factors in Training, Education, and Learning Sciences, July 24-28, 2019, Washington D.C., USA",Waldemar Karwowski; Tareq Ahram; Salman Nazir,2020,https://doi.org/10.1007/978-3-030-20135-7,180
978-3-030-50896-8,"Advances in Human Factors in Training, Education, and Learning Sciences","Proceedings of the AHFE 2020 Virtual Conference on Human Factors in Training, Education, and Learning Sciences, July 16-20, 2020, USA",Salman Nazir; Tareq Ahram; Waldemar Karwowski,2020,https://doi.org/10.1007/978-3-030-50896-8,280
978-3-319-93882-0,"Advances in Human Factors in Training, Education, and Learning Sciences","Proceedings of the AHFE 2018 International Conference on Human Factors in Training, Education, and Learning Sciences, July 21-25, 2018, Loews Sapphire Falls Resort at Universal Studios, Orlando, Florida, USA",Salman Nazir; Anna-Maria Teperi; Aleksandra Polak-Sopińska,2019,https://doi.org/10.1007/978-3-319-93882-0,340
978-3-319-60018-5,"Advances in Human Factors in Training, Education, and Learning Sciences","Proceedings of the AHFE 2017 International Conference on Human Factors in Training, Education, and Learning Sciences, July 17-21, 2017, The Westin Bonaventure Hotel, Los Angeles, California, USA",Terence Andre,2018,https://doi.org/10.1007/978-3-319-60018-5,280
978-1-4615-9056-9,Advances in Information Systems Science,Volume 7,Julius T. Tou,1978,https://doi.org/10.1007/978-1-4615-9056-9,100
978-1-4615-8249-6,Advances in Information Systems Science,Volume 6,Julius T. Tou,1976,https://doi.org/10.1007/978-1-4615-8249-6,100
978-1-4615-8246-5,Advances in Information Systems Science,Volume 5,Julius T. Tou,1974,https://doi.org/10.1007/978-1-4615-8246-5,100
978-1-4615-9053-8,Advances in Information Systems Science,Volume 4,Julius T. Tou,1972,https://doi.org/10.1007/978-1-4615-9053-8,100
978-1-4615-8243-4,Advances in Information Systems Science,Unavailable,Julius T. Tou,1970,https://doi.org/10.1007/978-1-4615-8243-4,100
978-1-4615-9050-7,Advances in Information Systems Science,Volume 1,Julius T. Tou,1969,https://doi.org/10.1007/978-1-4615-9050-7,100
978-1-4899-5841-9,Advances in Information Systems Science,Volume 2,Julius T. Tou,1969,https://doi.org/10.1007/978-1-4899-5841-9,100
978-1-4614-6345-0,Advances in Interdisciplinary Mathematical Research,"Applications to Engineering, Physical and Life Sciences",Bourama Toni,2013,https://doi.org/10.1007/978-1-4614-6345-0,180
978-3-030-20131-9,Advances in Mechanism and Machine Science,Proceedings of the 15th IFToMM World Congress on Mechanism and Machine Science,Tadeusz Uhl,2019,https://doi.org/10.1007/978-3-030-20131-9,978
978-1-4614-2278-5,Advances in Meta-Analysis,Unavailable,Terri Pigott,2012,https://doi.org/10.1007/978-1-4614-2278-5,100
978-94-007-2457-0,Advances in Nature of Science Research,Concepts and Methodologies,Myint Swe Khine,2012,https://doi.org/10.1007/978-94-007-2457-0,260
978-3-030-34960-8,"Advances in Optimization and Decision Science for Society, Services and Enterprises","ODS, Genoa, Italy, September 4-7, 2019",Massimo Paolucci; Anna Sciomachen; Pierpaolo Uberti,2019,https://doi.org/10.1007/978-3-030-34960-8,180
978-1-4615-8684-5,Advances in Polymer Science and Engineering,"Proceedings of the Symposium on Polymer Science and Engineering held at Rutgers University, October 26–27, 1972",K. Pae,1972,https://doi.org/10.1007/978-1-4615-8684-5,100
978-3-031-49345-4,"Advances in Research in Geosciences, Geotechnical Engineering, and Environmental Science","Proceedings of the Fourth Scientific Conference on Geosciences and Environmental Management (GeoME’4), Morocco 2023",Khadija Baba; Latifa Ouadif; Abderrahman Nounah; Mounir Bouassida,2023,https://doi.org/10.1007/978-3-031-49345-4,320
978-3-030-04726-9,Advances in Service Science,Proceedings of the 2018 INFORMS International Conference on Service Science,Hui Yang; Robin Qiu,2019,https://doi.org/10.1007/978-3-030-04726-9,280
978-1-4613-8982-8,Advances in Soil Science,Dryland Agriculture: Strategies for Sustainability Volume 13,R.R. Allen; A.U. Bhatti; W.R. Butcher; R.J. Cook; J.C. Day; L.F. Elliott; D.W. Fryrear; J.L. Hatfield; S.B. Hornick; D.W. Hughes; C.A. Jones; O.R. Jones; E.T. Kanemasu; R. Kunkel; D.K. McCool; R.E. Meyer; D.J. Mulla; R.I. Papendick; J.F. Parr; C.S. Potter; J.F. Power; K.G. Renard; R.P. Singh; J.L. Smith; J.L. Steiner; B.A. Stewart; J.I. Stewart; P.W. Unger; S.J. van Donk; S.M. Virmani; C.E. Whitman,1990,https://doi.org/10.1007/978-1-4613-8982-8,200
978-1-4613-8612-4,Advances in Soil Science,Volume 4,L.R. Ahuja; W.H. Gardner; D.R. Keeney; K.L. Sahrawat; I. Szabolcs,1986,https://doi.org/10.1007/978-1-4613-8612-4,180
978-3-319-48944-5,Advances in Systems Science,Proceedings of the International Conference on Systems Science 2016 (ICSS 2016),Jerzy Świątek; Jakub M. Tomczak,2017,https://doi.org/10.1007/978-3-319-48944-5,280
